0.162909,0.043096,0.166638,0.007683
0.067341,0.032911,0.340404,0.036151
0.024120,0.085159,0.407597,0.030398
0.010223,0.130610,0.263295,0.056566
0.109008,0.018157,0.170163,0.101942
0.155652,0.040581,0.173025,0.019625
0.163064,0.032157,0.079723,0.026251
0.084282,-0.033993,0.099672,0.132182
0.090615,0.212088,0.070887,0.076877
0.006539,0.191785,0.117031,-0.050204
0.128367,0.081267,0.122651,0.034425
-0.036871,0.162242,0.116131,-0.058428
-0.155414,0.123633,0.321792,-0.084116
0.015997,0.190564,0.345728,-0.111582
-0.089534,0.015725,0.371559,-0.144011
-0.021067,0.108157,0.186311,0.120148
-0.083587,0.353666,-0.034915,-0.208025
-0.024004,0.269260,0.161004,-0.026652
-0.053565,0.386412,0.099974,-0.106065
0.021278,0.181749,0.121853,0.017121
